Item,QID,username,timestamp,Field,Field ID,Action,Value,Value ID
Microsoft Excel,Q11272,JC Work,2018-07-11T18:13:39Z,Twitter username,P2002,created,msexcel,none
Microsoft Excel,Q11272,JC Work,2018-07-11T18:11:35Z,official website,P856,created,https://products.office.com/tr-tr/excel,none
Microsoft Excel,Q11272,JC Work,2018-07-11T18:10:51Z,official website,P856,created,https://products.office.com/en-gb/excel,none
Microsoft Excel,Q11272,JC Work,2018-07-11T18:10:31Z,official website,P856,created,https://products.office.com/en-us/excel,none
Microsoft Excel,Q11272,YULdigitalpreservation,2018-04-12T19:13:35Z,readable file format,P1072,created,Microsoft Excel Workspace,Q51801521
Microsoft Excel,Q11272,YULdigitalpreservation,2018-04-12T19:06:17Z,readable file format,P1072,created,"Microsoft Excel Chart, version 4",Q51801210
Microsoft Excel,Q11272,YULdigitalpreservation,2018-04-12T19:06:02Z,readable file format,P1072,created,Microsoft Excel Template,Q44935377
Microsoft Excel,Q11272,YULdigitalpreservation,2018-04-12T19:05:49Z,readable file format,P1072,created,Microsoft Excel Toolbar,Q51801109
Microsoft Excel,Q11272,YULdigitalpreservation,2018-04-12T19:05:36Z,readable file format,P1072,created,Microsoft Excel Add-In,Q51800130
Microsoft Excel,Q11272,YULdigitalpreservation,2018-04-12T19:05:25Z,readable file format,P1072,created,"Microsoft Excel Macro, version 4",Q51800009
Microsoft Excel,Q11272,YULdigitalpreservation,2018-04-10T14:16:45Z,readable file format,P1072,created,Microsoft Excel OLE DB Query,Q51718015
Microsoft Excel,Q11272,Zyksnowy,2018-01-03T17:29:52Z,Zhihu topic ID,P3553,created,zhihu https://www.zhihu.com/topic/19567930zjo,none
Microsoft Excel,Q11272,Zyksnowy,2018-01-03T17:18:50Z,iTunes app ID,P3861,created,586683407/,none
Microsoft Excel,Q11272,Danrok,2018-01-02T15:36:55Z,part of,P361,updated,Microsoft Office,Q11255
Microsoft Excel,Q11272,Mary Kornysheva,2017-11-05T13:40:47Z,programming language,P277,created,C++,Q2407
Microsoft Excel,Q11272,Wdpp,2017-09-23T18:39:39Z,readable file format,P1072,created,"OpenDocument Spreadsheet, version 1.2",Q27203789
Microsoft Excel,Q11272,Wdpp,2017-09-23T18:37:53Z,readable file format,P1072,created,"OpenDocument Spreadsheet, version 1.1",Q27203722
Microsoft Excel,Q11272,Wdpp,2017-09-23T18:05:21Z,readable file format,P1072,updated,OpenDocument,Q184473
Microsoft Excel,Q11272,Wdpp,2017-09-23T18:04:30Z,readable file format,P1072,updated,comma-separated values,Q935809
Microsoft Excel,Q11272,Wdpp,2017-09-23T18:02:46Z,readable file format,P1072,created,comma-separated values,Q935809
